,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
107,2020,143,T18TYP,S30,0.9049647,0.05095361,25.77,US-Bar
108,2020,168,T18TYP,S30,0.953434,0.016820155,23.55,US-Bar
109,2020,173,T18TYP,S30,0.95525646,0.012626253,23.61,US-Bar
110,2020,188,T18TYP,S30,0.9576702,0.0112692,24.66,US-Bar
111,2020,213,T18TYP,S30,0.9490855,0.021040907,28.96,US-Bar
112,2020,233,T18TYP,S30,0.956899,0.016381351,34.22,US-Bar
113,2020,248,T18TYP,S30,0.9552984,0.017511465,38.97,US-Bar
114,2020,253,T18TYP,S30,0.945826,0.022359218,40.68,US-Bar
115,2020,263,T18TYP,S30,0.94655377,0.023990111,44.22,US-Bar
116,2020,283,T18TYP,S30,0.8900337,0.06358547,51.51,US-Bar
117,2020,288,T18TYP,S30,0.8062905,0.10878111,53.31,US-Bar
118,2020,313,T18TYP,S30,0.84856784,0.08389414,61.49,US-Bar
119,2013,170,T19TCJ,L30,0.9552802,0.013456565,26.12,US-Bar
120,2013,193,T19TCJ,L30,0.9497151,0.01933806,27.2,US-Bar
121,2013,234,T19TCJ,L30,0.9428332,0.024775574,36.71,US-Bar
122,2013,257,T19TCJ,L30,0.9242095,0.039330978,43.410000000000004,US-Bar
123,2013,273,T19TCJ,L30,0.89207256,0.06336882,49.01,US-Bar
124,2013,282,T19TCJ,L30,0.8447302,0.086015195,52.57,US-Bar
125,2014,173,T19TCJ,L30,0.95630044,0.01215135,26.47,US-Bar
126,2014,237,T19TCJ,L30,0.94961125,0.017761124,37.7,US-Bar
127,2014,253,T19TCJ,L30,0.9487044,0.019502642,42.63,US-Bar
128,2014,269,T19TCJ,L30,0.9150542,0.046454277,48.050000000000004,US-Bar
129,2014,276,T19TCJ,L30,0.88632494,0.067354724,50.1,US-Bar
130,2014,285,T19TCJ,L30,0.81506217,0.1012808,53.64,US-Bar
131,2015,144,T19TCJ,L30,0.93467194,0.029758165,28.17,US-Bar
132,2015,183,T19TCJ,L30,0.95579267,0.016458852,26.330000000000002,US-Bar
133,2015,208,T19TCJ,L30,0.95095325,0.018519502,30.64,US-Bar
134,2015,215,T19TCJ,L30,0.9529193,0.017980617,31.37,US-Bar
135,2015,224,T19TCJ,L30,0.9503903,0.018618302,34.17,US-Bar
136,2015,240,T19TCJ,L30,0.9492814,0.019901026,38.53,US-Bar
137,2015,247,T19TCJ,L30,0.9393582,0.027665768,40.11,US-Bar
138,2015,263,T19TCJ,L30,0.94648373,0.020728707,45.45,US-Bar
139,2015,279,T19TCJ,L30,0.9200137,0.045389537,51.08,US-Bar
140,2015,288,T19TCJ,L30,0.7955736,0.10697116,54.6,US-Bar
141,2015,304,T19TCJ,L30,0.8129178,0.09092612,59.9,US-Bar
142,2015,320,T19TCJ,L30,0.86238265,0.075546704,64.47,US-Bar
143,2015,327,T19TCJ,L30,0.8727521,0.06913266,65.81,US-Bar
144,2016,090,T19TCJ,L30,0.7291876,0.113948666,43.43,US-Bar
145,2016,106,T19TCJ,L30,0.75409424,0.10370675,37.47,US-Bar
146,2016,131,T19TCJ,L30,0.7486519,0.112709574,30.650000000000002,US-Bar
147,2016,138,T19TCJ,L30,0.82831407,0.095035404,28.5,US-Bar
148,2016,147,T19TCJ,L30,0.9391326,0.029176762,27.71,US-Bar
149,2016,170,T19TCJ,L30,0.95285106,0.016946582,25.63,US-Bar
150,2016,186,T19TCJ,L30,0.9538837,0.015993407,26.53,US-Bar
151,2016,195,T19TCJ,L30,0.95172787,0.01634122,28.38,US-Bar
152,2016,218,T19TCJ,L30,0.9381892,0.028326498,31.96,US-Bar
153,2016,243,T19TCJ,L30,0.95330495,0.015785487,39.31,US-Bar
154,2016,259,T19TCJ,L30,0.94994384,0.019340523,44.44,US-Bar
