,year,doy,tile,sensor,HLSFAPAR,FieldFAPAR,HLSFAPARstd,sza,site
85,2015,320,T19TCJ,L30,0.86238265,0.7529122263582836,0.075546704,64.47,US-Bar
86,2015,327,T19TCJ,L30,0.8727521,0.731102785651413,0.06913266,65.81,US-Bar
87,2016,090,T19TCJ,L30,0.7291876,0.6407108740540325,0.113948666,43.43,US-Bar
88,2016,106,T19TCJ,L30,0.75409424,0.6225401537488622,0.10370675,37.47,US-Bar
89,2016,147,T19TCJ,L30,0.9391326,0.9313167742943033,0.029176762,27.71,US-Bar
90,2016,170,T19TCJ,L30,0.95285106,0.955616619037151,0.016946582,25.63,US-Bar
91,2016,186,T19TCJ,L30,0.9538837,0.952040694326459,0.015993407,26.53,US-Bar
92,2016,195,T19TCJ,L30,0.95172787,0.963262389015151,0.01634122,28.38,US-Bar
93,2016,218,T19TCJ,L30,0.9381892,0.9643343447395557,0.028326498,31.96,US-Bar
94,2016,259,T19TCJ,L30,0.94994384,0.9592853710405336,0.019340523,44.44,US-Bar
95,2016,266,T19TCJ,L30,0.94378865,0.956749927049775,0.02452512,46.38,US-Bar
96,2016,291,T19TCJ,L30,0.8118457,0.896132098367248,0.109501384,55.53,US-Bar
97,2016,323,T19TCJ,L30,0.88021404,0.8115377158859861,0.05935922,65.13,US-Bar
98,2017,140,T19TCJ,L30,0.9149101,0.887903321423513,0.044321314,28.0,US-Bar
99,2017,165,T19TCJ,L30,0.9519716,0.958355431102606,0.016465768,26.38,US-Bar
100,2017,213,T19TCJ,L30,0.94875705,0.9611903160111195,0.019806601,31.714444444444442,US-Bar
101,2017,245,T19TCJ,L30,0.94310737,0.9486723640489629,0.024368618,40.17,US-Bar
102,2017,268,T19TCJ,L30,0.9318874,0.9503382270262678,0.035435695,47.36,US-Bar
103,2017,277,T19TCJ,L30,0.92124873,0.9459097100926659,0.04545271,50.93,US-Bar
104,2017,284,T19TCJ,L30,0.87512994,0.9341593843842692,0.074455045,53.01,US-Bar
105,2017,293,T19TCJ,L30,0.8081752,0.9027269789957986,0.09921515,56.47,US-Bar
106,2017,300,T19TCJ,L30,0.8437364,0.8816457273998086,0.081341065,58.46,US-Bar
107,2016,289,T19TCJ,S30,0.8583045,0.8885740641182723,0.08260658,53.660000000000004,US-Bar
108,2016,309,T19TCJ,S30,0.8083102,0.811202806260894,0.11047958,60.31,US-Bar
109,2017,278,T19TCJ,S30,0.9022025,0.9436070025181837,0.054497432,49.97,US-Bar
110,2017,283,T19TCJ,S30,0.8940082,0.9315501216711188,0.066679224,51.78,US-Bar
111,2013,106,T18TYN,L30,0.38324636,0.405479466,0.0955152,36.61,US-HF
112,2013,122,T18TYN,L30,0.41797954,0.38604231000000006,0.09807892,31.622222222222224,US-HF
113,2013,170,T18TYN,L30,0.86570084,0.910081828,0.037562177,25.47,US-HF
114,2013,193,T18TYN,L30,0.85672104,0.922224928,0.03988268,26.47888888888889,US-HF
115,2013,218,T18TYN,L30,0.8005874,0.9398186230000001,0.053042173,31.79,US-HF
116,2013,234,T18TYN,L30,0.77317214,0.811927198,0.052990984,35.79,US-HF
117,2013,250,T18TYN,L30,0.86371017,0.9157317825,0.04101389,40.52,US-HF
118,2013,266,T18TYN,L30,0.87443024,0.9130840564000001,0.035721686,45.81,US-HF
119,2013,273,T18TYN,L30,0.8164603,0.8950478105,0.056216214,47.79,US-HF
120,2014,141,T18TYN,L30,0.68978035,0.6703846445,0.06476469,27.78,US-HF
121,2014,221,T18TYN,L30,0.88813084,0.941105613,0.027752874,32.660000000000004,US-HF
122,2014,237,T18TYN,L30,0.8769711,0.8126037495,0.036719494,36.77,US-HF
123,2014,276,T18TYN,L30,0.82527995,0.9216129825,0.0558241,48.870000000000005,US-HF
124,2014,285,T18TYN,L30,0.78301024,0.9043765095,0.05460597,52.410000000000004,US-HF
125,2015,128,T18TYN,L30,0.49699056,0.5812200194999999,0.08610847,30.51,US-HF
126,2015,144,T18TYN,L30,0.7945553,0.8577869735,0.05598304,27.42,US-HF
127,2015,192,T18TYN,L30,0.87768227,0.8782919856666666,0.03299826,27.44,US-HF
128,2015,215,T18TYN,L30,0.8562904,0.9385044566666667,0.037987333,30.57,US-HF
